"No.","Time","Source","Destination","Protocol","Length","Info"
"236","2.191539","172.16.22.70","172.16.23.255","UDP","62","2008  >  2008 Len=20"
"237","2.192202","172.16.22.70","172.16.23.255","UDP","62","2007  >  2007 Len=20"
"238","2.200062","fe80::9665:2dff:fe60:8694","ff02::2","ICMPv6","70","Router Solicitation from 94:65:2d:60:86:94"
"239","2.203204","HewlettP_ce:77:3b","Broadcast","ARP","60","Who has 172.16.21.60? Tell 172.16.20.1"
"240","2.269022","fe80::686e:b9d2:e7b6:7300","ff02::fb","MDNS","527","Standard query response 0x4478 PTR 73c76cb468616ef8e6f3675e7591807e._alljoyn._udp.local SRV 1 1 9955 73c76cb468616ef8e6f3675e7591807e.local TXT PTR 73c76cb468616ef8e6f3675e7591807e._alljoyn._tcp.local SRV 1 1 9955 73c76cb468616ef8e6f3675e7591807e.local TXT TXT TXT AAAA fe80::686e:b9d2:e7b6:7300"
"241","2.269658","172.16.21.76","255.255.255.255","UDP","68","55164  >  2008 Len=26"
"242","2.269660","172.16.21.76","255.255.255.255","UDP","68","55164  >  2007 Len=26"
"243","2.270146","172.16.23.109","172.16.23.255","UDP","62","2008  >  2008 Len=20"
"244","2.270239","172.16.23.109","172.16.23.255","UDP","62","2007  >  2007 Len=20"
"245","2.271499","172.16.21.59","172.16.23.255","UDP","62","2008  >  2008 Len=20"
"246","2.272234","172.16.21.59","172.16.23.255","UDP","62","2007  >  2007 Len=20"
"247","2.272600","fe80::686e:b9d2:e7b6:7300","ff02::fb","MDNS","527","Standard query response 0x4478 PTR 73c76cb468616ef8e6f3675e7591807e._alljoyn._udp.local SRV 1 1 9955 73c76cb468616ef8e6f3675e7591807e.local TXT PTR 73c76cb468616ef8e6f3675e7591807e._alljoyn._tcp.local SRV 1 1 9955 73c76cb468616ef8e6f3675e7591807e.local TXT TXT TXT AAAA fe80::686e:b9d2:e7b6:7300"
"248","2.273674","172.16.23.5","172.16.23.255","UDP","305","54915  >  54915 Len=263"
"249","2.273772","::","ff02::1:ff38:f63e","ICMPv6","78","Neighbor Solicitation for fe80::342f:651c:4b38:f63e"
"250","2.281992","fe80::342f:651c:4b38:f63e","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"251","2.281996","fe80::342f:651c:4b38:f63e","ff02::2","ICMPv6","62","Router Solicitation"
"252","2.286858","172.16.21.212","172.16.23.255","UDP","305","54915  >  54915 Len=263"
"253","2.291614","fe80::793a:99a6:473a:e199","ff02::fb","MDNS","74","Standard query response 0x0000"
"254","2.292284","172.16.22.70","172.16.23.255","UDP","62","2008  >  2008 Len=20"
"255","2.292287","172.16.22.70","172.16.23.255","UDP","62","2007  >  2007 Len=20"
"256","2.355472","172.16.21.76","255.255.255.255","UDP","68","65330  >  2008 Len=26"
"257","2.355674","172.16.21.76","255.255.255.255","UDP","68","65330  >  2007 Len=26"
"258","2.356066","172.16.21.59","172.16.23.255","UDP","62","2008  >  2008 Len=20"
"259","2.356933","172.16.21.59","172.16.23.255","UDP","62","2007  >  2007 Len=20"
"260","2.357130","172.16.23.109","172.16.23.255","UDP","62","2008  >  2008 Len=20"
"261","2.357384","172.16.23.109","172.16.23.255","UDP","62","2007  >  2007 Len=20"
"262","2.363732","172.16.22.160","239.255.255.250","SSDP","136","M-SEARCH * HTTP/1.1 "
"263","2.458378","172.16.22.70","172.16.23.255","UDP","62","2008  >  2008 Len=20"
"264","2.458773","172.16.22.70","172.16.23.255","UDP","62","2007  >  2007 Len=20"
"265","2.459048","HewlettP_ce:77:3b","Broadcast","ARP","60","Who has 172.16.21.233? Tell 172.16.20.1"
"266","2.460064","fe80::686e:b9d2:e7b6:7300","ff02::fb","MDNS","331","Standard query 0x447a PTR _alljoyn._udp.local, ""QU"" question PTR _alljoyn._tcp.local, ""QU"" question TXT TXT"
"267","2.462371","172.16.21.59","172.16.23.255","UDP","62","2008  >  2008 Len=20"
"268","2.462375","172.16.21.59","172.16.23.255","UDP","62","2007  >  2007 Len=20"
"269","2.462377","172.16.23.109","172.16.23.255","UDP","62","2008  >  2008 Len=20"
"270","2.462378","172.16.23.109","172.16.23.255","UDP","62","2007  >  2007 Len=20"
"271","2.464524","HewlettP_ce:77:3b","Broadcast","ARP","60","Who has 172.16.23.152? Tell 172.16.20.1"
